User ID,Name,Email Address,Username,Date of Birth,Gender,location.Index,Membership Start Date,Membership End Date,subscription plan.1.Index,payment.Index,renewal.Index,usage.Index,purchase history.1.Index,genres.Index,devices.Index,engagement.Index,Feedback/Ratings,Customer Support Interactions
1,Ronald Murphy,williamholland@example.com,williamholland,1953-06-03 00:00:00,Male,1,2024-01-15 00:00:00,2025-01-14 00:00:00,1,1,1,1,1,1,1,1,36,3
2,Scott Allen,scott22@example.org,scott22,1978-07-08 00:00:00,Male,2,2024-01-07 00:00:00,2025-01-06 00:00:00,2,2,1,1,1,2,2,1,38,7
3,Jonathan Parrish,brooke16@example.org,brooke16,1994-12-06 00:00:00,Female,3,2024-04-13 00:00:00,2025-04-13 00:00:00,2,1,1,1,2,3,1,2,33,8
4,Megan Williams,elizabeth31@example.net,elizabeth31,1964-12-22 00:00:00,Female,4,2024-01-24 00:00:00,2025-01-23 00:00:00,2,3,2,1,1,1,1,3,33,7
5,Kathryn Brown,pattersonalexandra@example.org,pattersonalexandra,1961-06-04 00:00:00,Male,5,2024-02-14 00:00:00,2025-02-13 00:00:00,1,2,2,2,3,4,1,2,43,1
6,Sandra Cox,gparks@example.org,gparks,1954-09-19 00:00:00,Female,6,2024-01-15 00:00:00,2025-01-14 00:00:00,2,3,1,3,2,5,3,2,38,2
7,Benjamin Marshall,michaellewis@example.net,michaellewis,2003-02-09 00:00:00,Male,7,2024-04-08 00:00:00,2025-04-08 00:00:00,2,3,2,2,3,6,3,1,44,10
8,James Smith,adrienne49@example.org,adrienne49,1946-10-04 00:00:00,Male,8,2024-02-16 00:00:00,2025-02-15 00:00:00,2,2,1,1,1,2,1,1,36,6
9,Bradley Green,brittany02@example.net,brittany02,1950-12-24 00:00:00,Female,9,2024-04-09 00:00:00,2025-04-09 00:00:00,1,3,1,2,1,1,2,1,40,8
10,Kayla Hernandez,jessica53@example.net,jessica53,1963-06-16 00:00:00,Male,10,2024-03-10 00:00:00,2025-03-10 00:00:00,2,2,2,2,3,4,3,3,49,6
11,Douglas Hampton,tonya16@example.com,tonya16,1997-11-28 00:00:00,Female,11,2024-03-24 00:00:00,2025-03-24 00:00:00,2,2,1,1,2,1,1,2,40,1
12,Andrew Gomez,brian80@example.org,brian80,1952-09-08 00:00:00,Female,12,2024-03-07 00:00:00,2025-03-07 00:00:00,1,3,1,1,2,2,1,2,44,6
13,Kevin Mayo,hochoa@example.net,hochoa,1981-11-18 00:00:00,Female,13,2024-01-10 00:00:00,2025-01-09 00:00:00,2,3,2,1,3,5,3,1,47,0
14,Gregory Thomas,egriffin@example.com,egriffin,1989-08-17 00:00:00,Female,14,2024-01-07 00:00:00,2025-01-06 00:00:00,1,3,2,2,2,2,3,1,38,0
15,Melanie Burns,meyerstacy@example.net,meyerstacy,2003-04-07 00:00:00,Male,15,2024-02-23 00:00:00,2025-02-22 00:00:00,1,2,1,1,3,6,2,1,49,10
16,Brittany Crane,jasonbowers@example.org,jasonbowers,1993-03-19 00:00:00,Female,16,2024-01-03 00:00:00,2025-01-02 00:00:00,1,3,1,3,2,2,2,2,50,0
17,Robert Gonzalez,cday@example.com,cday,1952-05-02 00:00:00,Female,17,2024-03-25 00:00:00,2025-03-25 00:00:00,1,2,2,1,3,7,2,2,33,3
18,Mindy Baxter,phumphrey@example.net,phumphrey,1978-11-16 00:00:00,Female,18,2024-01-23 00:00:00,2025-01-22 00:00:00,1,3,2,1,3,1,3,3,39,6
19,Michael Smith,paige55@example.org,paige55,1945-08-30 00:00:00,Female,19,2024-01-27 00:00:00,2025-01-26 00:00:00,1,2,2,3,2,1,1,2,44,6
20,Joseph Owens,christopher25@example.org,christopher25,1979-09-29 00:00:00,Female,20,2024-03-15 00:00:00,2025-03-15 00:00:00,1,1,1,3,2,6,3,1,46,2
21,Devin Wolf,jacobrobinson@example.com,jacobrobinson,1956-07-05 00:00:00,Male,21,2024-03-15 00:00:00,2025-03-15 00:00:00,2,2,1,1,1,5,3,2,42,6
22,Heidi Brock,karen47@example.org,karen47,1967-02-17 00:00:00,Male,22,2024-01-15 00:00:00,2025-01-14 00:00:00,2,3,1,1,3,6,1,2,39,2
23,Tracy Hardin,ronald82@example.net,ronald82,1996-02-13 00:00:00,Female,23,2024-04-14 00:00:00,2025-04-14 00:00:00,2,2,2,1,2,3,1,3,43,7
24,Maria White,castillokatie@example.com,castillokatie,1968-06-19 00:00:00,Male,24,2024-03-26 00:00:00,2025-03-26 00:00:00,1,1,1,1,1,4,1,3,48,0
25,Eric Johnson,lgreer@example.org,lgreer,1994-10-02 00:00:00,Female,25,2024-01-18 00:00:00,2025-01-17 00:00:00,2,1,2,2,1,6,2,3,46,4
26,Kenneth Jones,glen97@example.net,glen97,1986-09-22 00:00:00,Female,26,2024-02-12 00:00:00,2025-02-11 00:00:00,2,1,2,3,1,3,1,3,38,7
27,Joel Cole,nyates@example.com,nyates,2005-03-29 00:00:00,Male,27,2024-02-19 00:00:00,2025-02-18 00:00:00,2,2,1,3,1,2,1,3,36,0
28,Brittany Noble,carol56@example.com,carol56,1976-11-05 00:00:00,Male,28,2024-01-26 00:00:00,2025-01-25 00:00:00,2,2,2,3,3,3,1,1,30,9
29,Shelley Lopez,rodneyroberts@example.com,rodneyroberts,1967-07-05 00:00:00,Female,29,2024-01-07 00:00:00,2025-01-06 00:00:00,1,1,2,1,3,3,2,3,48,7
30,Stephen Perkins,julie52@example.com,julie52,1976-09-16 00:00:00,Female,30,2024-01-31 00:00:00,2025-01-30 00:00:00,2,3,1,1,2,5,1,1,48,9
31,Christopher Davis,urobinson@example.net,urobinson,1955-09-19 00:00:00,Male,31,2024-02-25 00:00:00,2025-02-24 00:00:00,1,1,1,2,3,7,2,2,46,10
32,Rodney Jones,zfrost@example.net,zfrost,1967-10-14 00:00:00,Female,32,2024-01-03 00:00:00,2025-01-02 00:00:00,2,1,1,3,1,2,3,2,42,9
33,Cheryl Johnson,louis25@example.com,louis25,1995-03-28 00:00:00,Male,33,2024-01-22 00:00:00,2025-01-21 00:00:00,2,1,1,2,3,4,2,2,43,4
34,Whitney Underwood,ujones@example.com,ujones,2002-07-23 00:00:00,Female,34,2024-03-30 00:00:00,2025-03-30 00:00:00,1,1,2,1,1,2,2,2,45,10
35,Cheryl Bradley,jesseforbes@example.org,jesseforbes,1933-05-11 00:00:00,Male,35,2024-04-05 00:00:00,2025-04-05 00:00:00,1,1,1,3,1,5,2,2,38,6
36,Carrie Smith,scottjohn@example.com,scottjohn,1991-07-03 00:00:00,Female,36,2024-01-17 00:00:00,2025-01-16 00:00:00,2,1,1,3,2,3,3,3,48,10
37,Ryan Nunez,silvamichael@example.org,silvamichael,1944-10-26 00:00:00,Female,37,2024-02-16 00:00:00,2025-02-15 00:00:00,2,2,2,2,2,2,1,1,41,6
38,John Wood,maxwellanthony@example.net,maxwellanthony,1975-07-23 00:00:00,Female,38,2024-01-23 00:00:00,2025-01-22 00:00:00,1,3,1,2,3,7,3,1,45,7
39,Rachel Holmes,maryjones@example.com,maryjones,1955-07-06 00:00:00,Female,39,2024-03-25 00:00:00,2025-03-25 00:00:00,2,2,2,3,1,1,3,3,32,8
40,Terry Powell,reyesjennifer@example.com,reyesjennifer,1981-03-19 00:00:00,Female,40,2024-02-04 00:00:00,2025-02-03 00:00:00,1,2,2,3,3,1,3,2,42,5
41,Mark Hernandez,william81@example.com,william81,1975-03-07 00:00:00,Male,41,2024-03-18 00:00:00,2025-03-18 00:00:00,2,2,2,2,3,3,1,1,46,8
42,Angela Hall,laura84@example.org,laura84,1962-06-14 00:00:00,Female,42,2024-03-21 00:00:00,2025-03-21 00:00:00,2,3,2,3,1,3,3,3,44,2
43,Laura Griffith,michelle48@example.net,michelle48,2001-01-09 00:00:00,Female,43,2024-03-19 00:00:00,2025-03-19 00:00:00,1,3,2,1,3,1,3,1,36,9
44,Anita Calhoun MD,ashley86@example.com,ashley86,1945-08-27 00:00:00,Male,44,2024-03-14 00:00:00,2025-03-14 00:00:00,1,1,1,2,3,7,2,1,48,6
45,Shannon Clark,traci17@example.net,traci17,1943-08-20 00:00:00,Male,45,2024-03-14 00:00:00,2025-03-14 00:00:00,2,3,1,2,2,2,2,2,50,6
46,Geoffrey Garcia,benjamin76@example.org,benjamin76,1993-10-31 00:00:00,Male,46,2024-02-03 00:00:00,2025-02-02 00:00:00,1,1,2,1,3,6,1,1,39,5
47,Jeffery Maxwell,debra51@example.org,debra51,1953-04-13 00:00:00,Female,47,2024-02-21 00:00:00,2025-02-20 00:00:00,1,3,2,2,2,6,2,2,36,7
48,Robert Lloyd,bradleypatrick@example.org,bradleypatrick,1985-03-15 00:00:00,Male,48,2024-03-09 00:00:00,2025-03-09 00:00:00,2,1,1,3,1,7,2,2,43,2
49,Melissa Wells,luis09@example.net,luis09,1950-07-27 00:00:00,Female,49,2024-03-09 00:00:00,2025-03-09 00:00:00,2,1,2,3,1,2,1,2,31,8
50,Antonio Jackson,jrandall@example.org,jrandall,1965-07-23 00:00:00,Female,50,2024-03-24 00:00:00,2025-03-24 00:00:00,1,2,1,3,2,6,3,3,45,9
51,John Smith,dhuffman@example.net,dhuffman,1990-12-21 00:00:00,Male,51,2024-01-28 00:00:00,2025-01-27 00:00:00,2,2,1,3,1,4,1,3,39,8
52,Jeremy Lyons,richardsmicheal@example.com,richardsmicheal,1976-11-05 00:00:00,Male,52,2024-02-02 00:00:00,2025-02-01 00:00:00,1,3,1,2,3,2,2,3,39,0
53,Cathy Harrington,kellygibson@example.org,kellygibson,1942-03-21 00:00:00,Male,53,2024-04-14 00:00:00,2025-04-14 00:00:00,2,1,1,3,3,4,2,2,49,8
54,Lisa Bauer,allison13@example.org,allison13,1964-10-26 00:00:00,Male,54,2024-01-28 00:00:00,2025-01-27 00:00:00,1,3,1,3,1,3,1,3,36,5
55,Margaret Cooper,fbradley@example.org,fbradley,1964-02-19 00:00:00,Female,55,2024-03-13 00:00:00,2025-03-13 00:00:00,1,2,2,2,3,5,3,2,49,3
56,Robert Browning,lorettashelton@example.net,lorettashelton,1973-11-09 00:00:00,Female,56,2024-02-03 00:00:00,2025-02-02 00:00:00,1,1,2,1,1,6,2,3,36,6
57,Amanda Williams DVM,reginald05@example.org,reginald05,1953-03-27 00:00:00,Female,57,2024-01-02 00:00:00,2025-01-01 00:00:00,2,2,2,3,1,6,1,1,30,2
58,William Clark,michael86@example.com,michael86,1961-05-19 00:00:00,Male,58,2024-04-01 00:00:00,2025-04-01 00:00:00,2,3,2,3,2,4,3,2,45,10
59,Julie Dean,hduffy@example.org,hduffy,2003-03-09 00:00:00,Female,59,2024-04-07 00:00:00,2025-04-07 00:00:00,2,1,2,2,2,3,1,3,35,10
60,Neil Allen,hamiltonkeith@example.org,hamiltonkeith,1968-09-05 00:00:00,Female,60,2024-04-11 00:00:00,2025-04-11 00:00:00,1,1,2,3,2,5,2,2,37,9
61,Nicole Hunter,wendy13@example.com,wendy13,1953-09-24 00:00:00,Female,61,2024-02-15 00:00:00,2025-02-14 00:00:00,2,3,2,3,2,3,1,1,39,4
62,Susan Hurst,jessicaespinoza@example.com,jessicaespinoza,1991-10-15 00:00:00,Female,62,2024-03-06 00:00:00,2025-03-06 00:00:00,1,2,1,3,3,7,1,3,46,10
63,Megan Bates,douglas02@example.net,douglas02,1981-08-17 00:00:00,Female,63,2024-01-09 00:00:00,2025-01-08 00:00:00,2,1,2,2,1,7,2,1,38,3
64,Kristen Rowe,bcollins@example.org,bcollins,1974-06-10 00:00:00,Male,64,2024-03-09 00:00:00,2025-03-09 00:00:00,2,1,2,2,3,6,3,2,36,4
65,Jessica Flores,aguilarjohn@example.net,aguilarjohn,1948-06-30 00:00:00,Female,65,2024-01-17 00:00:00,2025-01-16 00:00:00,2,3,1,2,1,3,2,2,45,6
66,Elizabeth Taylor,desiree88@example.com,desiree88,1973-07-13 00:00:00,Female,66,2024-03-29 00:00:00,2025-03-29 00:00:00,2,3,1,1,1,7,3,3,36,10
67,Ronald Brooks MD,arodriguez@example.net,arodriguez,2004-04-07 00:00:00,Female,67,2024-02-01 00:00:00,2025-01-31 00:00:00,1,2,2,2,2,3,3,3,30,9
68,Sonya Obrien,larry78@example.org,larry78,1946-02-17 00:00:00,Female,68,2024-03-19 00:00:00,2025-03-19 00:00:00,1,2,1,2,1,6,1,2,34,0
69,Tracy Koch,timothy25@example.net,timothy25,1947-08-03 00:00:00,Female,69,2024-04-09 00:00:00,2025-04-09 00:00:00,2,3,2,2,2,6,2,3,47,9
70,Kendra Brooks DVM,obray@example.net,obray,1937-01-29 00:00:00,Male,70,2024-01-21 00:00:00,2025-01-20 00:00:00,2,3,1,1,3,5,2,2,32,2
71,Janice Oliver,bethany83@example.net,bethany83,1988-12-02 00:00:00,Male,71,2024-02-27 00:00:00,2025-02-26 00:00:00,2,2,2,2,2,3,3,2,41,5
72,Jennifer Shields,aanderson@example.org,aanderson,2004-10-07 00:00:00,Male,72,2024-03-03 00:00:00,2025-03-03 00:00:00,1,1,2,1,1,4,2,3,31,7
73,Diana Dillon,diane28@example.com,diane28,1981-04-21 00:00:00,Male,73,2024-01-30 00:00:00,2025-01-29 00:00:00,2,2,2,1,1,4,2,1,35,4
74,David Mata,cheyennewilson@example.net,cheyennewilson,1967-08-12 00:00:00,Male,74,2024-04-08 00:00:00,2025-04-08 00:00:00,1,3,1,2,1,4,3,2,48,9
75,Megan Vaughan,walkersusan@example.net,walkersusan,1938-02-23 00:00:00,Female,75,2024-02-03 00:00:00,2025-02-02 00:00:00,1,2,1,2,2,2,3,1,33,0
76,Kelsey Diaz,jamesstevens@example.com,jamesstevens,1992-06-29 00:00:00,Female,76,2024-02-07 00:00:00,2025-02-06 00:00:00,1,1,2,3,3,6,1,2,44,5
77,Jimmy Parker,shannon08@example.org,shannon08,1967-05-15 00:00:00,Female,77,2024-02-18 00:00:00,2025-02-17 00:00:00,2,1,1,1,2,1,1,1,49,10
78,Perry Fry,lucas69@example.com,lucas69,1993-12-10 00:00:00,Female,78,2024-03-10 00:00:00,2025-03-10 00:00:00,2,2,1,1,3,4,2,2,38,10
79,Evelyn Williams,john77@example.org,john77,1942-08-03 00:00:00,Male,79,2024-03-18 00:00:00,2025-03-18 00:00:00,2,1,2,3,3,6,3,2,41,10
80,Julie Sanchez,bakerzachary@example.net,bakerzachary,1994-12-11 00:00:00,Female,80,2024-01-29 00:00:00,2025-01-28 00:00:00,1,2,1,1,1,3,2,2,34,6
81,Joseph Davis,greenelisa@example.com,greenelisa,1933-10-12 00:00:00,Male,81,2024-01-07 00:00:00,2025-01-06 00:00:00,2,1,1,2,3,5,1,2,33,3
82,Monique Rodriguez,rrhodes@example.com,rrhodes,1940-05-03 00:00:00,Male,82,2024-03-20 00:00:00,2025-03-20 00:00:00,2,1,1,2,1,1,2,3,36,9
83,Thomas Davis,brendasmith@example.com,brendasmith,1938-12-01 00:00:00,Female,83,2024-02-29 00:00:00,2025-02-28 00:00:00,1,2,2,1,1,7,2,3,31,5
84,Christopher Dickerson,wgregory@example.com,wgregory,1992-05-05 00:00:00,Female,84,2024-01-15 00:00:00,2025-01-14 00:00:00,2,3,2,3,2,5,1,3,32,4
85,Keith Baker,ujones@example.com,ujones,1972-07-11 00:00:00,Female,85,2024-02-03 00:00:00,2025-02-02 00:00:00,1,3,1,3,3,2,2,1,30,1
86,Ashley Cortez,lisa59@example.net,lisa59,1948-06-13 00:00:00,Female,86,2024-02-23 00:00:00,2025-02-22 00:00:00,1,2,1,2,2,5,1,2,39,3
87,Tammy Ward,shannon33@example.com,shannon33,1974-03-16 00:00:00,Female,87,2024-01-28 00:00:00,2025-01-27 00:00:00,1,1,2,2,2,2,1,2,48,4
88,Mary Fernandez,richardsjimmy@example.com,richardsjimmy,1990-04-27 00:00:00,Male,88,2024-02-10 00:00:00,2025-02-09 00:00:00,2,3,1,1,2,7,1,2,44,2
89,Gilbert Brown,ashleytate@example.net,ashleytate,1984-03-24 00:00:00,Male,89,2024-02-27 00:00:00,2025-02-26 00:00:00,1,2,2,2,1,7,1,2,40,2
90,Vanessa Lutz,harriscameron@example.org,harriscameron,1951-11-13 00:00:00,Female,90,2024-02-11 00:00:00,2025-02-10 00:00:00,2,1,1,1,1,5,3,1,47,3
91,Jenna Pham,marybeltran@example.org,marybeltran,1937-08-15 00:00:00,Male,91,2024-01-13 00:00:00,2025-01-12 00:00:00,2,1,2,3,2,4,3,3,34,9
92,Alicia Williams,xpierce@example.org,xpierce,1991-06-20 00:00:00,Male,92,2024-02-22 00:00:00,2025-02-21 00:00:00,2,3,1,2,2,3,3,1,42,2
93,Laura Saunders,sara71@example.net,sara71,1945-02-21 00:00:00,Male,93,2024-02-13 00:00:00,2025-02-12 00:00:00,1,1,1,3,2,4,3,1,39,3
